sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
METF-500,Metformin 500mg 10s,Type 2 diabetes glucose control,GOODS,Diabetes,,3004,STRIP,10,16,20,12,30,60,100,,USV,MED-018,2026-03-01,2028-03-01
GLIM-2,Glimepiride 2mg 10s,Sulfonylurea for diabetes,GOODS,Diabetes,,3004,STRIP,28,38,45,12,15,30,50,,Glenmark,MED-019,2026-02-15,2028-02-15
BETNOV-CRM,Betnovate-N Cream 20g,Skin infection ointment,GOODS,Dermatology,,3004,PCS,55,68,75,12,15,30,50,,GSK,MED-020,2026-01-10,2027-07-10
CAND-CRM,Candid Cream 15g,Antifungal skin cream,GOODS,Dermatology,,3004,PCS,62,78,85,12,12,24,40,,Glenmark,MED-021,2026-02-20,2027-08-20
VOLINI-GEL,Volini Gel 30g,Topical pain relief gel,GOODS,Topical,,3004,PCS,95,115,125,12,15,30,50,,Sun Pharma,MED-022,2026-03-01,2028-03-01
VIT-C-500,Vitamin C 500mg 30s,Immunity booster ascorbic acid,GOODS,Vitamin,,3004,PCS,80,110,120,12,15,30,50,,Mankind,MED-023,2026-01-15,2028-01-15
BCPLEX-30,B-Complex 30 tablets,Multivitamin B complex,GOODS,Vitamin,,3004,PCS,45,62,70,12,20,40,60,,Abbott,MED-024,2026-02-10,2028-02-10
CALCI-D3,Calcium + D3 30 tablets,Bone health supplement,GOODS,Vitamin,,3004,PCS,90,120,135,12,15,30,50,,Cadila,MED-025,2026-03-05,2028-03-05
DOLO-650,Dolo 650 15s,Popular paracetamol brand,GOODS,Analgesic,Dolo,3004,STRIP,25,32,36,12,40,80,150,,Micro Labs,MED-026,2026-02-01,2028-02-01
COUGH-SYP,Benadryl Cough Syrup 100ml,Diphenhydramine cough relief,GOODS,Cough & Cold,,3004,PCS,70,88,95,12,15,30,50,,Johnson & Johnson,MED-027,2026-01-20,2027-07-20
SINAREST,Sinarest Tablet 10s,Cold and flu multi-symptom,GOODS,Cough & Cold,,3004,STRIP,22,30,35,12,20,40,60,,Centaur Pharma,MED-028,2026-03-10,2028-03-10
BANDAGE-5CM,Crepe Bandage 5cm x 4m,Elastic crepe bandage,GOODS,Surgical,,3005,PCS,25,35,40,12,20,40,60,,Dyna,,,
COTTON-50G,Absorbent Cotton 50g,Medical grade cotton roll,GOODS,Surgical,,3005,PCS,22,30,35,12,15,30,50,,Laxmi,,,
SYRINGE-5ML,Disposable Syringe 5ml,Single use syringe with needle,GOODS,Surgical,,9018,PCS,5,8,10,12,50,100,200,,BD,,,
MASK-3PLY,Surgical Mask 50s box,3-ply disposable face mask,GOODS,Surgical,,6307,BOX,120,160,180,12,10,20,30,,Generic,,,
GLOVES-M,Latex Gloves M 100s,Powdered examination gloves,GOODS,Surgical,,4015,BOX,220,280,310,12,5,10,15,,Supermax,,,
THERMOM-DIG,Digital Thermometer,Oral body temperature meter,GOODS,Equipment,,9025,PCS,80,120,150,12,5,10,10,,Dr Morepen,,,
BP-MONITOR,Digital BP Monitor,Arm type blood pressure monitor,GOODS,Equipment,Omron,9018,PCS,1200,1600,1899,12,2,5,5,,Omron,,,
OXIMETER,Pulse Oximeter,Fingertip SpO2 and pulse rate,GOODS,Equipment,,9018,PCS,600,850,999,12,3,5,5,,Dr Morepen,,,
NEBULIZER,Nebulizer Machine,Piston compressor nebulizer,GOODS,Equipment,,9018,PCS,1400,1800,2199,12,2,3,3,,Omron,,,
SANITIZER-500,Hand Sanitizer 500ml,70% alcohol gel sanitizer,GOODS,Hygiene,,3808,PCS,90,120,140,18,10,20,30,,Lifebuoy,,,
DIAPER-L-10,Adult Diaper L 10s,Unisex adult diaper large,GOODS,Patient Care,,9619,PCS,280,350,399,12,5,10,15,,Friends,,,
HEATING-PAD,Electric Heating Pad,Therapeutic heat pad,GOODS,Equipment,,8516,PCS,400,550,649,18,3,5,5,,Flamingo,,,
