sku,name,description,item_type,category,brand,hsn_code,unit_of_measure,purchase_price,sale_price,mrp,gst_rate,reorder_level,reorder_quantity,opening_stock,barcode,manufacturer,batch_number,mfg_date,expiry_date
GEN-PANEER,Amul Paneer 200g,Fresh cottage cheese,GOODS,Dairy,Amul,0406,GM,80,90,95,5,10,20,30,8901262250337,GCMMF,B-APR-04,2026-04-21,2026-05-05
GEN-BREAD,Britannia Bread 400g,Whole wheat bread,GOODS,Bakery,Britannia,1905,PCS,40,45,48,5,10,20,30,8901063090125,Britannia,B-APR-05,2026-04-23,2026-04-28
GEN-BISCUIT,Good Day Butter 150g,Cashew butter cookies,GOODS,Bakery,Britannia,1905,PCS,30,35,38,18,15,30,60,8901063106130,Britannia,,,
GEN-MAGGI,Maggi Noodles 4-pack,2 minute masala noodles,GOODS,Packaged Food,Maggi,1902,PCS,48,55,56,18,20,40,80,8901058011029,Nestle India,,,
GEN-SOAP,Lux Soap 100g,Beauty soap,GOODS,Personal Care,Lux,3401,PCS,35,42,45,18,15,30,60,8901030594045,HUL,,,
GEN-SHAMPOO,Head & Shoulders 180ml,Anti-dandruff shampoo,GOODS,Personal Care,Head & Shoulders,3305,ML,175,199,210,18,8,15,24,8901030731488,P&G,,,
GEN-PASTE,Colgate MaxFresh 150g,Fluoride toothpaste,GOODS,Personal Care,Colgate,3306,PCS,85,99,105,18,10,20,40,8901314961044,Colgate Palmolive,,,
GEN-DETERG,Surf Excel Matic 1kg,Front load washing powder,GOODS,Household,Surf Excel,3402,KG,210,245,260,18,8,15,30,8901030628689,HUL,,,
GEN-PHENYL,Lizol Floor Cleaner 1L,Citrus disinfectant,GOODS,Household,Lizol,3808,LTR,160,185,199,18,6,12,18,8901030721113,Reckitt,,,
GEN-PEN,Cello Butterflow Blue,Ball point pen blue,GOODS,Stationery,Cello,9608,PCS,8,10,10,18,50,100,200,8901764007115,BIC Cello,,,
GEN-NOTEBOOK,Classmate Notebook 200pg,Single line long notebook,GOODS,Stationery,Classmate,4820,PCS,50,60,65,12,20,40,80,8901764010047,ITC Ltd,,,
GEN-BULB-LED,LED Bulb 9W Cool White,Energy saving LED bulb,GOODS,Electrical,,8539,PCS,60,85,99,18,10,20,30,,Philips,,,
GEN-BATTERY,Duracell AA 2-pack,Alkaline battery pack of 2,GOODS,Electrical,Duracell,8506,PCS,80,99,110,18,15,30,50,5000394203471,Duracell,,,
GEN-CEMENT,UltraTech Cement 50kg,OPC 53 grade cement,GOODS,Building Material,UltraTech,2523,KG,380,400,,28,5,10,20,,UltraTech Cement,,,
GEN-PIPE-PVC,PVC Pipe 1 inch 6ft,CPVC plumbing pipe,GOODS,Building Material,Astral,3917,PCS,120,145,155,18,10,20,30,,Astral Pipes,,,
GEN-PARA-500,Paracetamol 500mg 10s,Fever and pain relief tablets,GOODS,Medicine,,3004,STRIP,8,12,15,12,30,60,100,,Cipla,MED-2604,2026-02-01,2027-02-01
GEN-AZITH-500,Azithromycin 500mg 3s,Antibiotic tablets,GOODS,Medicine,,3004,STRIP,55,70,82,12,15,30,50,,Alkem,MED-2605,2026-03-01,2028-03-01
GEN-CETRIZ,Cetirizine 10mg 10s,Allergy relief antihistamine,GOODS,Medicine,,3004,STRIP,15,22,28,12,20,40,80,,Sun Pharma,MED-2606,2026-01-15,2027-07-15
GEN-ORS,ORS Sachet 21.8g,Oral rehydration salts WHO formula,GOODS,Medicine,,3004,PCS,8,12,15,5,40,80,150,,FDC Ltd,MED-2607,2026-03-10,2027-09-10
GEN-BANDAGE,Crepe Bandage 5cm x 4m,Elastic crepe bandage,GOODS,Medical Supplies,,3005,PCS,25,35,40,12,15,30,50,,Dyna,,,
GEN-MASK,3-Ply Face Mask 50s,Disposable surgical mask box,GOODS,Medical Supplies,,6307,BOX,120,160,180,12,5,10,20,,Generic,,,
GEN-TAILORING,Tailoring Service,Custom stitching and alteration,SERVICE,Services,,9988,PCS,0,300,,18,0,0,0,,,,
GEN-DELIVERY,Home Delivery Charge,Local delivery within 5km,SERVICE,Services,,9965,PCS,0,30,,18,0,0,0,,,,
GEN-GIFTWRAP,Gift Wrapping Service,Premium gift wrapping,SERVICE,Services,,9988,PCS,0,50,,18,0,0,0,,,,
